2, 1024, 8
cudaMalloc Execution time: 1 milliseconds
gpu_output_sum 58691584, cpu_sum 58691584 
default malloc-free test PASSED
414 , 0x206954ce0
415 , 0x206954d00
224 , 0x206953520
225 , 0x206953540
226 , 0x206953560
227 , 0x206953580
228 , 0x2069535a0
229 , 0x2069535c0
230 , 0x2069535e0
231 , 0x206953600
232 , 0x206953620
233 , 0x206953640
234 , 0x206953660
235 , 0x206953680
236 , 0x2069536a0
237 , 0x2069536c0
238 , 0x2069536e0
239 , 0x206953700
240 , 0x206953720
241 , 0x206953740
242 , 0x206953760
243 , 0x206953780
244 , 0x2069537a0
245 , 0x2069537c0
246 , 0x2069537e0
247 , 0x206953800
248 , 0x206953820
249 , 0x206953840
250 , 0x206953860
251 , 0x206953880
252 , 0x2069538a0
253 , 0x2069538c0
254 , 0x2069538e0
255 , 0x206953900
1760 , 0x20695f520
1761 , 0x20695f540
1762 , 0x20695f560
1763 , 0x20695f580
1764 , 0x20695f5a0
1765 , 0x20695f5c0
1766 , 0x20695f5e0
1767 , 0x20695f600
1768 , 0x20695f620
1769 , 0x20695f640
1770 , 0x20695f660
1771 , 0x20695f680
1772 , 0x20695f6a0
1773 , 0x20695f6c0
1774 , 0x20695f6e0
1775 , 0x20695f700
1776 , 0x20695f720
1777 , 0x20695f740
1778 , 0x20695f760
1779 , 0x20695f780
1780 , 0x20695f7a0
1781 , 0x20695f7c0
1782 , 0x20695f7e0
1783 , 0x20695f800
1784 , 0x20695f820
1785 , 0x20695f840
1786 , 0x20695f860
1787 , 0x20695f880
1788 , 0x20695f8a0
1789 , 0x20695f8c0
1790 , 0x20695f8e0
1791 , 0x20695f900
192 , 0x206953120
193 , 0x206953140
194 , 0x206953160
195 , 0x206953180
196 , 0x2069531a0
197 , 0x2069531c0
198 , 0x2069531e0
199 , 0x206953200
200 , 0x206953220
201 , 0x206953240
202 , 0x206953260
203 , 0x206953280
204 , 0x2069532a0
205 , 0x2069532c0
206 , 0x2069532e0
207 , 0x206953300
208 , 0x206953320
209 , 0x206953340
210 , 0x206953360
211 , 0x206953380
212 , 0x2069533a0
213 , 0x2069533c0
214 , 0x2069533e0
215 , 0x206953400
216 , 0x206953420
217 , 0x206953440
218 , 0x206953460
219 , 0x206953480
220 , 0x2069534a0
221 , 0x2069534c0
222 , 0x2069534e0
223 , 0x206953500
1440 , 0x20695cd20
1441 , 0x20695cd40
1442 , 0x20695cd60
1443 , 0x20695cd80
1444 , 0x20695cda0
1445 , 0x20695cdc0
1446 , 0x20695cde0
1447 , 0x20695ce00
1448 , 0x20695ce20
1449 , 0x20695ce40
1450 , 0x20695ce60
1451 , 0x20695ce80
1452 , 0x20695cea0
1453 , 0x20695cec0
1454 , 0x20695cee0
1455 , 0x20695cf00
1456 , 0x20695cf20
1457 , 0x20695cf40
1458 , 0x20695cf60
1459 , 0x20695cf80
1460 , 0x20695cfa0
1461 , 0x20695cfc0
1462 , 0x20695cfe0
1463 , 0x20695d000
1464 , 0x20695d020
1465 , 0x20695d040
1466 , 0x20695d060
1467 , 0x20695d080
1468 , 0x20695d0a0
1469 , 0x20695d0c0
1470 , 0x20695d0e0
1471 , 0x20695d100
352 , 0x206954520
353 , 0x206954540
354 , 0x206954560
355 , 0x206954580
356 , 0x2069545a0
357 , 0x2069545c0
358 , 0x2069545e0
359 , 0x206954600
360 , 0x206954620
361 , 0x206954640
362 , 0x206954660
363 , 0x206954680
364 , 0x2069546a0
365 , 0x2069546c0
366 , 0x2069546e0
367 , 0x206954700
368 , 0x206954720
369 , 0x206954740
370 , 0x206954760
371 , 0x206954780
372 , 0x2069547a0
373 , 0x2069547c0
374 , 0x2069547e0
375 , 0x206954800
376 , 0x206954820
377 , 0x206954840
378 , 0x206954860
379 , 0x206954880
380 , 0x2069548a0
381 , 0x2069548c0
382 , 0x2069548e0
383 , 0x206954900
1280 , 0x20695b920
1281 , 0x20695b940
1282 , 0x20695b960
1283 , 0x20695b980
1284 , 0x20695b9a0
1285 , 0x20695b9c0
1286 , 0x20695b9e0
1287 , 0x20695ba00
1288 , 0x20695ba20
1289 , 0x20695ba40
1290 , 0x20695ba60
1291 , 0x20695ba80
1292 , 0x20695baa0
1293 , 0x20695bac0
1294 , 0x20695bae0
1295 , 0x20695bb00
1296 , 0x20695bb20
1297 , 0x20695bb40
1298 , 0x20695bb60
1299 , 0x20695bb80
1300 , 0x20695bba0
1301 , 0x20695bbc0
1302 , 0x20695bbe0
1303 , 0x20695bc00
1304 , 0x20695bc20
1305 , 0x20695bc40
1306 , 0x20695bc60
1307 , 0x20695bc80
1308 , 0x20695bca0
1309 , 0x20695bcc0
1310 , 0x20695bce0
1311 , 0x20695bd00
1312 , 0x20695bd20
1313 , 0x20695bd40
1314 , 0x20695bd60
1315 , 0x20695bd80
1316 , 0x20695bda0
1317 , 0x20695bdc0
1318 , 0x20695bde0
1319 , 0x20695be00
1320 , 0x20695be20
1321 , 0x20695be40
1322 , 0x20695be60
1323 , 0x20695be80
1324 , 0x20695bea0
1325 , 0x20695bec0
1326 , 0x20695bee0
1327 , 0x20695bf00
1328 , 0x20695bf20
1329 , 0x20695bf40
1330 , 0x20695bf60
1331 , 0x20695bf80
1332 , 0x20695bfa0
1333 , 0x20695bfc0
1334 , 0x20695bfe0
1335 , 0x20695c000
1336 , 0x20695c020
1337 , 0x20695c040
1338 , 0x20695c060
1339 , 0x20695c080
1340 , 0x20695c0a0
1341 , 0x20695c0c0
1342 , 0x20695c0e0
1343 , 0x20695c100
928 , 0x206958d20
929 , 0x206958d40
930 , 0x206958d60
931 , 0x206958d80
932 , 0x206958da0
933 , 0x206958dc0
934 , 0x206958de0
935 , 0x206958e00
936 , 0x206958e20
937 , 0x206958e40
938 , 0x206958e60
939 , 0x206958e80
940 , 0x206958ea0
941 , 0x206958ec0
942 , 0x206958ee0
943 , 0x206958f00
944 , 0x206958f20
945 , 0x206958f40
946 , 0x206958f60
947 , 0x206958f80
948 , 0x206958fa0
949 , 0x206958fc0
950 , 0x206958fe0
951 , 0x206959000
952 , 0x206959020
953 , 0x206959040
954 , 0x206959060
955 , 0x206959080
956 , 0x2069590a0
957 , 0x2069590c0
958 , 0x2069590e0
959 , 0x206959100
672 , 0x206956d20
673 , 0x206956d40
674 , 0x206956d60
675 , 0x206956d80
676 , 0x206956da0
677 , 0x206956dc0
678 , 0x206956de0
679 , 0x206956e00
680 , 0x206956e20
681 , 0x206956e40
682 , 0x206956e60
683 , 0x206956e80
684 , 0x206956ea0
685 , 0x206956ec0
686 , 0x206956ee0
687 , 0x206956f00
688 , 0x206956f20
689 , 0x206956f40
690 , 0x206956f60
691 , 0x206956f80
692 , 0x206956fa0
693 , 0x206956fc0
694 , 0x206956fe0
695 , 0x206957000
696 , 0x206957020
697 , 0x206957040
698 , 0x206957060
699 , 0x206957080
700 , 0x2069570a0
701 , 0x2069570c0
702 , 0x2069570e0
703 , 0x206957100
1504 , 0x20695d520
1505 , 0x20695d540
1506 , 0x20695d560
1507 , 0x20695d580
1508 , 0x20695d5a0
1509 , 0x20695d5c0
1510 , 0x20695d5e0
1511 , 0x20695d600
1512 , 0x20695d620
1513 , 0x20695d640
1514 , 0x20695d660
1515 , 0x20695d680
1516 , 0x20695d6a0
1517 , 0x20695d6c0
1518 , 0x20695d6e0
1519 , 0x20695d700
1520 , 0x20695d720
1521 , 0x20695d740
1522 , 0x20695d760
1523 , 0x20695d780
1524 , 0x20695d7a0
1525 , 0x20695d7c0
1526 , 0x20695d7e0
1527 , 0x20695d800
1528 , 0x20695d820
1529 , 0x20695d840
1530 , 0x20695d860
1531 , 0x20695d880
1532 , 0x20695d8a0
1533 , 0x20695d8c0
1534 , 0x20695d8e0
1535 , 0x20695d900
96 , 0x206952520
97 , 0x206952540
98 , 0x206952560
99 , 0x206952580
100 , 0x2069525a0
101 , 0x2069525c0
102 , 0x2069525e0
103 , 0x206952600
104 , 0x206952620
105 , 0x206952640
106 , 0x206952660
107 , 0x206952680
108 , 0x2069526a0
109 , 0x2069526c0
110 , 0x2069526e0
111 , 0x206952700
112 , 0x206952720
113 , 0x206952740
114 , 0x206952760
115 , 0x206952780
116 , 0x2069527a0
117 , 0x2069527c0
118 , 0x2069527e0
119 , 0x206952800
120 , 0x206952820
121 , 0x206952840
122 , 0x206952860
123 , 0x206952880
124 , 0x2069528a0
125 , 0x2069528c0
126 , 0x2069528e0
